ID,exit,entry,Run,Frames
96,3820.0,2279.0,6,1541.0
97,3097.0,1724.0,6,1373.0
98,2263.0,1219.0,6,1044.0
99,2990.0,1487.0,6,1503.0
35,3705.0,2561.0,7,1144.0
36,4408.0,2891.0,7,1517.0
37,3544.0,2263.0,7,1281.0
38,3284.0,2191.0,7,1093.0
39,3477.0,2269.0,7,1208.0
40,3688.0,2143.0,7,1545.0
41,2994.0,1760.0,7,1234.0
42,2370.0,1357.0,7,1013.0
43,2312.0,1216.0,7,1096.0
44,2158.0,1118.0,7,1040.0
45,4241.0,2992.0,7,1249.0
46,4165.0,2788.0,7,1377.0
47,3779.0,2448.0,7,1331.0
48,4468.0,3167.0,7,1301.0
49,3511.0,2362.0,7,1149.0
50,3395.0,2024.0,7,1371.0
51,2516.0,1477.0,7,1039.0
52,2383.0,1274.0,7,1109.0
53,2578.0,1436.0,7,1142.0
54,2085.0,1029.0,7,1056.0
55,2026.0,799.0,7,1227.0
58,3834.0,2672.0,7,1162.0
6,4064.0,2348.0,7,1716.0
60,3617.0,2466.0,7,1151.0
61,3285.0,2035.0,7,1250.0
62,2962.0,1758.0,7,1204.0
63,3081.0,1825.0,7,1256.0
64,3158.0,1905.0,7,1253.0
65,2264.0,1181.0,7,1083.0
66,2009.0,1043.0,7,966.0
67,4731.0,3110.0,7,1621.0
68,4353.0,2989.0,7,1364.0
69,4041.0,2658.0,7,1383.0
70,3764.0,2553.0,7,1211.0
71,3704.0,2362.0,7,1342.0
72,3231.0,1967.0,7,1264.0
73,2857.0,1540.0,7,1317.0
74,2909.0,1662.0,7,1247.0
75,2765.0,1548.0,7,1217.0
76,2311.0,1223.0,7,1088.0
77,2683.0,1444.0,7,1239.0
79,4230.0,2862.0,7,1368.0
80,4161.0,2948.0,7,1213.0
81,3406.0,2151.0,7,1255.0
82,3571.0,2252.0,7,1319.0
83,3311.0,2099.0,7,1212.0
84,3424.0,1888.0,7,1536.0
85,2453.0,1304.0,7,1149.0
86,2692.0,1387.0,7,1305.0
87,2252.0,1161.0,7,1091.0
88,2196.0,1130.0,7,1066.0
89,4465.0,3198.0,7,1267.0
9,3437.0,1978.0,7,1459.0
92,4453.0,3076.0,7,1377.0
93,3898.0,2717.0,7,1181.0
94,3074.0,1654.0,7,1420.0
95,3815.0,2477.0,7,1338.0
96,4082.0,2851.0,7,1231.0
97,3650.0,1997.0,7,1653.0
98,2108.0,1022.0,7,1086.0
99,2587.0,1283.0,7,1304.0
32,2175.0,1117.0,8,1058.0
33,2593.0,1260.0,8,1333.0
34,4635.0,3242.0,8,1393.0
35,4156.0,2905.0,8,1251.0
36,4218.0,3040.0,8,1178.0
37,3920.0,2686.0,8,1234.0
38,2945.0,1659.0,8,1286.0
39,3144.0,1941.0,8,1203.0
4,4383.0,2939.0,8,1444.0
40,2721.0,1542.0,8,1179.0
41,2479.0,1407.0,8,1072.0
42,2559.0,1466.0,8,1093.0
43,2251.0,1195.0,8,1056.0
44,1971.0,876.0,8,1095.0
45,3763.0,2529.0,8,1234.0
46,3631.0,2417.0,8,1214.0
47,4060.0,2592.0,8,1468.0
48,3348.0,2130.0,8,1218.0
49,3366.0,2101.0,8,1265.0
50,3477.0,2274.0,8,1203.0
51,2506.0,1447.0,8,1059.0
52,2268.0,1301.0,8,967.0
53,2429.0,1264.0,8,1165.0
54,2349.0,1312.0,8,1037.0
55,2089.0,877.0,8,1212.0
59,4082.0,2860.0,8,1222.0
60,3854.0,2647.0,8,1207.0
61,3594.0,2372.0,8,1222.0
62,3033.0,1775.0,8,1258.0
63,2643.0,1558.0,8,1085.0
64,2329.0,1243.0,8,1086.0
65,2433.0,1285.0,8,1148.0
66,2060.0,1115.0,8,945.0
69,4460.0,3168.0,8,1292.0
70,3847.0,2556.0,8,1291.0
71,3283.0,2077.0,8,1206.0
72,3761.0,2363.0,8,1398.0
73,2894.0,1829.0,8,1065.0
74,3231.0,1983.0,8,1248.0
75,2598.0,1481.0,8,1117.0
76,2392.0,1376.0,8,1016.0
77,2245.0,1154.0,8,1091.0
79,4025.0,2754.0,8,1271.0
8,3241.0,1876.0,8,1365.0
81,3681.0,2304.0,8,1377.0
83,3535.0,2140.0,8,1395.0
84,3423.0,2030.0,8,1393.0
85,3049.0,1847.0,8,1202.0
86,2797.0,1640.0,8,1157.0
87,2675.0,1369.0,8,1306.0
88,2341.0,1249.0,8,1092.0
9,2230.0,1158.0,8,1072.0
90,4450.0,2986.0,8,1464.0
91,4639.0,3166.0,8,1473.0
93,3924.0,2266.0,8,1658.0
94,2833.0,1736.0,8,1097.0
95,4307.0,2675.0,8,1632.0
96,2758.0,1528.0,8,1230.0
97,2728.0,1342.0,8,1386.0
98,2121.0,1126.0,8,995.0
99,2972.0,1479.0,8,1493.0
32,2709.0,1354.0,9,1355.0
33,2018.0,1046.0,9,972.0
34,4456.0,3101.0,9,1355.0
36,3911.0,2459.0,9,1452.0
37,3278.0,2087.0,9,1191.0
38,2919.0,1726.0,9,1193.0
39,3275.0,1989.0,9,1286.0
40,2682.0,1462.0,9,1220.0
41,2462.0,1394.0,9,1068.0
42,2743.0,1651.0,9,1092.0
43,2487.0,1377.0,9,1110.0
44,2186.0,1143.0,9,1043.0
45,4716.0,3282.0,9,1434.0
46,4145.0,2759.0,9,1386.0
47,4086.0,2674.0,9,1412.0
48,3669.0,2432.0,9,1237.0
49,3148.0,1816.0,9,1332.0
50,2987.0,1674.0,9,1313.0
51,2530.0,1549.0,9,981.0
52,2751.0,1549.0,9,1202.0
53,2046.0,1060.0,9,986.0
54,2208.0,1246.0,9,962.0
55,2127.0,1062.0,9,1065.0
57,4124.0,2855.0,9,1269.0
58,3699.0,2471.0,9,1228.0
59,3237.0,1958.0,9,1279.0
6,3736.0,2367.0,9,1369.0
60,3047.0,1856.0,9,1191.0
61,3204.0,2117.0,9,1087.0
62,2934.0,1711.0,9,1223.0
63,2887.0,1668.0,9,1219.0
64,2608.0,1392.0,9,1216.0
65,2316.0,1326.0,9,990.0
66,2262.0,1238.0,9,1024.0
68,4040.0,2785.0,9,1255.0
70,3528.0,2228.0,9,1300.0
71,3190.0,2078.0,9,1112.0
72,3603.0,2218.0,9,1385.0
73,3765.0,2482.0,9,1283.0
74,3054.0,1922.0,9,1132.0
75,2810.0,1505.0,9,1305.0
76,2405.0,1295.0,9,1110.0
77,2118.0,988.0,9,1130.0
78,4587.0,3115.0,9,1472.0
8,4485.0,2998.0,9,1487.0
82,3983.0,2681.0,9,1302.0
84,3424.0,2230.0,9,1194.0
85,2800.0,1531.0,9,1269.0
86,2280.0,1196.0,9,1084.0
87,2261.0,1162.0,9,1099.0
88,2191.0,1088.0,9,1103.0
90,4297.0,2961.0,9,1336.0
91,4825.0,3124.0,9,1701.0
92,3956.0,2579.0,9,1377.0
93,3757.0,2348.0,9,1409.0
94,4512.0,2663.0,9,1849.0
95,3126.0,1981.0,9,1145.0
96,2943.0,1721.0,9,1222.0
97,2570.0,1436.0,9,1134.0
98,2475.0,1366.0,9,1109.0
99,2121.0,964.0,9,1157.0
34,4762.0,3249.0,10,1513.0
36,4372.0,3059.0,10,1313.0
37,3787.0,2646.0,10,1141.0
38,3671.0,2492.0,10,1179.0
39,2875.0,1673.0,10,1202.0
4,4110.0,2631.0,10,1479.0
