ID,Event,Frame,Cell kind,Coordinates,
17,entry,2651,1,350.0606061,65.62121212
40,entry,2677,1,350.1015228,98.89847716
22,exit,2693,1,550.0703518,96.34170854
83,entry,2721,1,350.071066,126.5177665
82,entry,2725,1,350.0659898,137.1522843
99,exit,2794,1,550.1167513,106.1827411
38,entry,2821,1,350.1370558,75.92893401
33,exit,2845,1,550.005,96.77
64,entry,2850,1,350.1573604,106.4314721
77,exit,2872,1,550.0502513,115.2763819
18,entry,2882,1,350.0913706,63.68020305
26,entry,2884,1,350.0505051,90.51515152
21,exit,2905,1,550.2171717,85.82828283
44,exit,2955,1,550.165,97.97
93,entry,2957,1,350.0761421,126.9390863
88,exit,2981,1,550.040201,110.1005025
6,entry,3015,1,350.0406091,73.15228426
32,exit,3017,1,550.0100503,85.69849246
39,entry,3043,1,350.1010101,90.13131313
87,exit,3059,1,550.23,118.64
43,exit,3081,1,550.1060606,98.88888889
91,entry,3120,1,350.0757576,135.5959596
50,entry,3122,1,350.0406091,102.7664975
76,exit,3140,1,550.1055276,107.0854271
10,exit,3158,1,550.0653266,86.11557789
5,entry,3199,1,350.040404,66.57575758
27,entry,3221,1,350.1878173,84.39593909
86,exit,3228,1,550.165,115.935
31,exit,3232,1,550.0854271,102.3467337
20,exit,3248,1,550.0151515,88.14646465
98,exit,3315,1,550.1055276,111.241206
81,entry,3324,1,350.0656566,117.8282828
55,exit,3325,1,550.0502513,96.10552764
15,entry,3342,1,350.0252525,66.10606061
80,entry,3392,1,350.010101,125.3939394
72,entry,3397,1,350.15,105.64
42,exit,3405,1,550.205,97.365
25,entry,3416,1,350.0913706,83.30456853
85,exit,3429,1,550,109.3919598
90,entry,3444,1,350.020202,136.8888889
52,entry,3464,1,350.0653266,94.59296482
13,entry,3506,1,350.015,64.74
41,exit,3541,1,550.1356784,101.2361809
19,exit,3566,1,550.0298507,90.45273632
14,entry,3572,1,350.025,79.03
97,exit,3619,1,550.1363636,108.9292929
71,entry,3621,1,350.040404,114.1919192
69,entry,3626,1,350.0452261,124.4623116
29,exit,3683,1,550.0151515,98.2020202
49,entry,3694,1,350.0151515,92.16161616
4,entry,3695,1,350.1005025,63.14070352
84,exit,3720,1,550.005,114.27
11,exit,3723,1,550.035,86.255
24,entry,3741,1,350.0304569,78.07106599
96,exit,3792,1,550.0452261,119.7688442
54,exit,3793,1,550.04,98.815
9,exit,3835,1,550.0959596,81.85858586
94,exit,3852,1,550.03,110.625
30,exit,3888,1,550.315,97.02
37,entry,3911,1,350.1313131,86.61616162
8,exit,3932,1,550.025,85.27
79,entry,3932,1,350.0656566,137.2020202
68,entry,3941,1,350,122.2121212
74,exit,3941,1,550.0603015,110.4924623
36,entry,3963,1,350.0555556,77.03030303
75,exit,3986,1,550.0353535,96.72222222
3,entry,4026,1,350.0862944,63.60406091
70,entry,4056,1,350.1161616,102.0656566
28,exit,4071,1,550.1055276,89.30653266
66,entry,4083,1,350.0603015,113.281407
73,exit,4098,1,550.0502513,106.6733668
61,entry,4147,1,350.09,124.085
34,entry,4165,1,350.0707071,76.34848485
65,exit,4183,1,550.215,98.125
89,entry,4212,1,350.0757576,134.2676768
95,exit,4242,1,550.165,109.985
40,exit,4272,1,550.1055276,93.36683417
12,entry,4282,1,350.030303,64.05555556
16,exit,4316,1,550.1262626,106.9141414
48,entry,4319,1,350.145,89.695
7,exit,4359,1,550.115,92.44
53,entry,4378,1,350.0151515,77.75252525
26,exit,4441,1,550.085,101.915
17,exit,4444,1,550.455,83.495
92,entry,4473,1,350.0050505,134.3585859
56,entry,4481,1,350.115,120.13
83,exit,4486,1,550.0201005,110.1457286
35,entry,4511,1,350.0452261,64.35175879
62,entry,4542,1,350.0050505,95.72727273
38,exit,4563,1,550.095,92.335
82,exit,4581,1,550.0502513,116.5075377
18,exit,4621,1,550,84.30150754
64,exit,4631,1,550.1005025,101.5728643
47,entry,4637,1,350.095,87.54
60,entry,4665,1,350.0304569,100.2639594
39,exit,4702,1,550.0151515,114.5858586
57,entry,4704,1,350.0301508,110.1407035
45,entry,4723,1,350.09,79.95
6,exit,4724,1,550.0351759,94.59798995
63,entry,4742,1,350,120.36
5,exit,4771,1,550.2171717,81.30808081
93,exit,4785,1,550.0552764,105.6130653
27,exit,4856,1,550.1005025,95.67336683
2,entry,4877,1,350.0050505,63.16666667
67,entry,4899,1,350.1155779,122.0502513
91,exit,4908,1,550.0351759,105.798995
59,entry,4912,1,350.075,76.915
78,entry,4922,1,350.1919192,132.989899
15,exit,4928,1,550.0502513,87.77386935
50,exit,5000,1,550.075,101.135
25,exit,5041,1,550.0909091,89.77777778
80,exit,5054,1,550.3535354,109.7575758
58,entry,5097,1,350.07,132.605
23,entry,5113,1,350.1212121,70.18686869
81,exit,5150,1,550.04,98.805
90,exit,5188,1,550.1055276,113.2613065
13,exit,5211,1,550.165,83.97
1,entry,5226,1,350.07,65.065
52,exit,5255,1,550.1155779,97.08542714
100,entry,5286,1,350.0502513,136.3065327
71,exit,5301,1,550.1010101,110.3888889
24,exit,5358,1,550.1306533,97.18090452
14,exit,5388,1,550.2089552,85.80099502
49,exit,5442,1,550.03,106.48
ID,Event,Frame,Cell kind,Coordinates,
33,entry,1387,1,350.22,66.69
32,entry,1460,1,350.0603015,77.66331658
88,entry,1480,1,350.0151515,128.0505051
22,entry,1504,1,350.1363636,63.68686869
99,entry,1506,1,350.0606061,137.459596
43,entry,1567,1,350.0100503,81.90954774
77,entry,1576,1,350.0050505,125.2222222
11,entry,1587,1,350.080402,70.18090452
76,entry,1672,1,350.1363636,117.9090909
98,entry,1687,1,350.0050505,134.3636364
